Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5129003810,2021-04-22 00:00:32,2021-04-20 16:51:00,Spring,Texas,281,Dropped call or no message,Y
2177530175,2021-04-22 00:00:45,2021-04-21 13:30:00,Springfield,Illinois,217,No Subject Provided,N
2816486291,2021-04-22 00:02:00,2021-04-21 10:37:00,Spring,Texas,281,Dropped call or no message,Y
2173022788,2021-04-22 00:02:06,2021-04-21 09:34:00,Springfield,Illinois,217,No Subject Provided,N
7149872909,2021-04-22 00:02:53,2021-04-21 20:30:00,Rancho Palos Verdes,California,310,"Reducing your debt (credit cards, mortgage, student loans)",N
2818148636,2021-04-22 00:02:53,2021-04-21 11:55:00,Spring,Texas,281,Dropped call or no message,Y
5702933028,2021-04-22 00:05:26,2021-04-21 09:29:00,,New York,845,"Energy, solar,  & utilities",N
4806906563,2021-04-22 00:06:48,2021-04-21 00:00:00,,Arizona,602,"Reducing your debt (credit cards, mortgage, student loans)",Y
8883837657,2021-04-22 00:07:21,2021-04-19 12:22:00,,California,831,Other,Y
7147798564,2021-04-22 00:07:42,2021-04-21 17:18:00,Fullerton,California,714,Other,N
6672396210,2021-04-22 00:08:38,2021-04-20 18:35:00,Centerville,Utah,801,Other,Y
7203994318,2021-04-22 00:09:54,2021-04-20 19:43:00,,Wisconsin,920,No Subject Provided,
4056469232,2021-04-22 00:10:11,2021-04-21 13:24:00,GLENDALE,Arizona,623,Warranties  & protection plans,N
7165174957,2021-04-22 00:10:18,2021-04-21 19:56:00,Centerville,Utah,801,Other,Y
,2021-04-22 00:11:33,2020-04-19 14:12:00,,New York,631,No Subject Provided,N
8882105904,2021-04-22 00:11:05,2021-04-21 17:27:00,University City,Missouri,314,Other,N
5107979557,2021-04-22 00:11:14,2021-04-21 07:56:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4082384133,2021-04-22 00:13:08,2021-04-21 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
9184043976,2021-04-22 00:13:38,2021-04-21 20:09:00,Bismarck,North Dakota,701,Other,Y
5107979557,2021-04-22 00:14:54,2021-04-21 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2034038630,2021-04-22 00:15:28,2021-04-16 12:15:00,Kerrville,Texas,818,Other,Y
8125341892,2021-04-22 00:15:41,2021-04-19 12:32:00,,California,831,Other,Y
4082384133,2021-04-22 00:15:47,2021-04-21 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3014427340,2021-04-22 00:17:05,2021-04-21 20:06:00,,Maryland,301,Dropped call or no message,Y
9167336852,2021-04-22 00:17:30,2021-04-21 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4082393528,2021-04-22 00:18:35,2021-04-21 07:58:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3604265480,2021-04-22 00:18:46,2021-04-21 15:56:00,,Washington,360,Dropped call or no message,N
8507062290,2021-04-22 00:19:10,2021-04-21 15:29:00,,Florida,850,Dropped call or no message,Y
9167336852,2021-04-22 00:19:31,2021-04-21 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4082393528,2021-04-22 00:20:21,2021-04-21 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2029671105,2021-04-22 00:20:39,2021-04-21 16:35:00,WALNUT CREEK,California,925,Dropped call or no message,Y
,2021-04-22 00:20:46,2021-04-20 19:33:00,Brookhaven,Georgia,404,Other,Y
2029671260,2021-04-22 00:21:32,2021-04-20 11:59:00,WALNUT CREEK,California,925,Dropped call or no message,Y
4086140670,2021-04-22 00:22:06,2021-04-21 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3232384235,2021-04-22 00:22:32,2021-04-21 18:22:00,Los Angeles,California,323,Other,Y
