Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8667889998,2021-04-21 00:00:12,2020-08-17 04:00:00,"W. Toluca Lake,",California,818,Other,N
9495081542,2021-04-21 00:00:16,2021-04-20 13:06:00,Aliso Viejo,California,949,Other,Y
4083698808,2021-04-21 00:01:45,2021-04-20 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3104940269,2021-04-21 00:02:33,2021-04-20 13:37:00,,California,310,No Subject Provided,N
4107729525,2021-04-21 00:02:10,2021-03-22 12:59:00,Columbia,Maryland,410,Other,Y
8447591490,2021-04-21 00:02:29,2021-04-08 14:58:00,Aliso Viejo,California,949,Other,Y
4089456316,2021-04-21 00:03:11,2021-04-20 21:03:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4105924582,2021-04-21 00:03:18,2021-03-22 17:17:00,Columbia,Maryland,410,"Reducing your debt (credit cards, mortgage, student loans)",Y
4054672012,2021-04-21 00:03:29,2021-04-20 13:24:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
5626668523,2021-04-21 00:03:54,2021-04-20 18:40:00,Medford,New York,631,Other,Y
8664442352,2021-04-21 00:04:18,2021-04-20 12:04:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
3104284484,2021-04-21 00:04:52,2021-04-20 15:37:00,,California,310,No Subject Provided,N
8164250557,2021-04-21 00:04:30,2021-03-24 14:25:00,Columbia,Maryland,410,No Subject Provided,
4054591121,2021-04-21 00:05:00,2021-04-20 13:36:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
5706346368,2021-04-21 00:05:17,2021-04-20 10:03:00,Olympia,Washington,360,"Calls pretending to be government, businesses, or family and friends",N
4107822125,2021-04-21 00:05:27,2021-03-25 18:28:00,Columbia,Maryland,410,"Reducing your debt (credit cards, mortgage, student loans)",Y
4088580285,2021-04-21 00:05:40,2021-04-20 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
8182401267,2021-04-21 00:05:56,2021-03-30 00:00:00,,California,323,Other,Y
4057132241,2021-04-21 00:06:07,2021-04-20 10:56:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
2172804322,2021-04-21 00:06:12,2021-04-16 10:41:00,Springfield,Illinois,217,No Subject Provided,
8774399492,2021-04-21 00:06:23,2021-04-08 13:30:00,Fairborn,Ohio,307,"Energy, solar,  & utilities",Y
3019835884,2021-04-21 00:06:35,2021-04-12 13:39:00,,Maryland,301,Other,Y
40578713720,2021-04-21 00:06:39,2021-04-20 10:29:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
3104597725,2021-04-21 00:07:15,2021-04-20 15:43:00,,California,310,No Subject Provided,N
3109486423,2021-04-21 00:07:21,2021-03-13 12:46:00,,California,323,Dropped call or no message,Y
2172828642,2021-04-21 00:07:21,2021-04-17 11:23:00,Springfield,Illinois,217,No Subject Provided,
4178159435,2021-04-21 00:07:31,2021-04-20 10:14:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
2176887105,2021-04-21 00:08:10,2021-04-17 12:52:00,Springfield,Illinois,217,No Subject Provided,
9495424140,2021-04-21 00:08:35,2021-03-08 10:06:00,,California,323,Warranties  & protection plans,Y
5418160813,2021-04-21 00:08:52,2021-04-20 14:48:00,coos bay,Oregon,541,Medical  & prescriptions,Y
2066563136,2021-04-21 00:08:53,2021-04-20 16:57:00,Caldwell,Idaho,208,"Calls pretending to be government, businesses, or family and friends",Y
