Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
+16313095259,2021-04-09 00:00:16,2021-04-09 00:00:16,,New York,516,No Subject Provided,Y
8155314530,2021-04-09 00:00:39,2021-04-08 16:13:00,Manteno,Illinois,815,Other,Y
2056519923,2021-04-09 00:00:40,2021-04-08 13:12:00,CO,Colorado,719,Other,N
8165173058,2021-04-09 00:00:52,2021-04-08 18:13:00,INDIANAPOLIS,Indiana,816,"Calls pretending to be government, businesses, or family and friends",N
+18559791098,2021-04-09 00:00:41,2021-04-09 00:00:41,,Nevada,702,No Subject Provided,Y
7757293612,2021-04-09 00:01:22,2021-04-09 00:01:22,,Nevada,702,No Subject Provided,Y
3105463481,2021-04-09 00:01:39,2021-04-07 11:08:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
,2021-04-09 00:01:52,2021-04-08 13:31:00,Manteno,Illinois,815,Other,Y
8019459061,2021-04-09 00:01:53,2021-04-08 18:23:00,Monroe,Wisconsin,801,Other,Y
7084838353,2021-04-09 00:01:58,2021-04-08 12:10:00,SEYMOUR,Wisconsin,920,"Reducing your debt (credit cards, mortgage, student loans)",Y
3105463481,2021-04-09 00:02:25,2021-04-07 13:13:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
8155325988,2021-04-09 00:02:45,2021-04-08 13:31:00,Manteno,Illinois,815,Other,Y
7757293612,2021-04-09 00:01:24,2021-04-09 00:01:24,,Nevada,702,No Subject Provided,Y
+18482916070,2021-04-09 00:01:28,2021-04-09 00:01:28,,New Jersey,848,No Subject Provided,Y
5103428233,2021-04-09 00:03:26,2021-04-08 14:08:00,,California,510,No Subject Provided,N
3134774721,2021-04-09 00:03:05,2021-04-08 19:02:00,Farmington,Michigan,313,Other,Y
3103259110,2021-04-09 00:03:08,2021-04-07 11:34:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
8165315987,2021-04-09 00:03:46,2021-04-08 13:13:00,Manteno,Illinois,815,Other,Y
3107566350,2021-04-09 00:03:54,2021-04-07 12:54:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
9702334540,2021-04-09 00:03:54,2021-04-08 12:50:00,CO,Colorado,719,Other,N
6509184595,2021-04-09 00:04:43,2021-04-07 15:41:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
8155315820,2021-04-09 00:04:52,2021-04-08 11:24:00,Manteno,Illinois,815,Other,Y
3105967341,2021-04-09 00:05:28,2021-04-07 16:59:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
5128477728,2021-04-09 00:02:55,2021-04-09 00:02:55,,Texas,281,No Subject Provided,Y
5127705078,2021-04-09 00:03:09,2021-04-09 00:03:09,,Texas,281,No Subject Provided,Y
+12673690953,2021-04-09 00:03:46,2021-04-09 00:03:46,,Pennsylvania,610,No Subject Provided,Y
+17023573527,2021-04-09 00:04:31,2021-04-09 00:04:31,,Nevada,702,No Subject Provided,N
9723883909,2021-04-09 00:04:39,2021-04-09 00:04:39,,Texas,972,No Subject Provided,Y
