Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
3045078468,2021-04-20 00:00:37,2021-04-02 12:08:00,,West Virginia,304,Warranties  & protection plans,Y
7145108863,2021-04-20 00:00:42,2021-04-18 14:47:00,Huntington Beach,California,714,Other,Y
8777533742,2021-04-20 00:00:55,2021-04-13 14:57:00,MANSFIELD,Massachusetts,508,Other,Y
,2021-04-20 00:01:30,2021-04-18 08:03:00,Fredericksburg,Virginia,571,Other,Y
7865334161,2021-04-20 00:01:38,2021-04-19 10:24:00,Kalamazoo,Michigan,269,Other,Y
7142551118,2021-04-20 00:01:40,2021-04-19 11:51:00,Huntington Beach,California,714,Other,Y
224600175,2021-04-20 00:01:41,2021-04-09 12:45:00,,Illinois,815,No Subject Provided,
5624849456,2021-04-20 00:01:45,2021-04-02 13:10:00,,Minnesota,952,Computer  & technical support,Y
,2021-04-20 00:02:23,2021-04-18 20:00:00,Fredericksburg,Virginia,540,Other,Y
,2021-04-20 00:02:45,2021-04-19 18:30:00,,Ohio,937,No Subject Provided,Y
8159700767,2021-04-20 00:02:53,2021-04-09 00:00:00,,Illinois,815,No Subject Provided,
2186737192,2021-04-20 00:03:15,2021-04-16 11:26:00,,Minnesota,218,"Calls pretending to be government, businesses, or family and friends",
8584569751,2021-04-20 00:03:30,2021-04-02 14:01:00,,Minnesota,952,Computer  & technical support,Y
8159954646,2021-04-20 00:05:14,2021-04-05 13:56:00,,Illinois,815,No Subject Provided,
8064761005,2021-04-20 00:05:18,2021-04-05 13:03:00,,Minnesota,952,Computer  & technical support,Y
6012589105,2021-04-20 00:06:10,2021-04-05 14:13:00,,Illinois,815,No Subject Provided,
8159129542,2021-04-20 00:06:56,2021-04-05 16:40:00,,Illinois,815,No Subject Provided,
5052968625,2021-04-20 00:07:00,2021-04-04 14:15:00,Albuquerque,New Mexico,505,"Reducing your debt (credit cards, mortgage, student loans)",Y
3192039697,2021-04-20 00:10:41,2021-04-15 17:44:00,,Minnesota,952,Computer  & technical support,Y
7133643502,2021-04-20 00:12:06,2021-04-16 10:10:00,Spring,Texas,281,Other,Y
8768298952,2021-04-20 00:12:10,2021-04-19 08:05:00,Boise,Idaho,208,"Lotteries, prizes  & sweepstakes",Y
5303588251,2021-04-20 00:12:26,2021-04-15 17:47:00,,Minnesota,952,Computer  & technical support,Y
3152328257,2021-04-20 00:13:03,2021-04-19 15:22:00,,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
4307023277,2021-04-20 00:13:05,2021-04-16 12:39:00,Spring,Texas,281,Dropped call or no message,Y
5303588251,2021-04-20 00:13:51,2021-04-15 17:53:00,,Minnesota,952,Computer  & technical support,Y
8085155971,2021-04-20 00:13:56,2021-04-19 19:25:00,Bristol,Virginia,276,Other,Y
9728033629,2021-04-20 00:14:03,2021-04-16 13:21:00,Spring,Texas,281,Dropped call or no message,Y
5303588251,2021-04-20 00:15:17,2021-04-15 17:54:00,,Minnesota,952,Computer  & technical support,Y
9706686414,2021-04-20 00:16:25,2021-04-19 18:18:00,,Texas,409,No Subject Provided,Y
8082171735,2021-04-20 00:16:34,2021-04-19 16:40:00,Aiea,Hawaii,808,Other,Y
5169085084,2021-04-20 00:17:39,2021-04-18 02:37:00,,Minnesota,952,Computer  & technical support,Y
8443023338,2021-04-20 00:17:58,2021-04-19 12:00:00,Baton Rouge,Louisiana,844,Dropped call or no message,Y
