Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
3018120033,2021-04-01 00:00:23,2021-03-31 19:52:00,,Maryland,301,Other,N
4083904337,2021-04-01 00:01:07,2021-03-31 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
9283565677,2021-04-01 00:01:18,2021-03-31 10:04:00,Lake Havasu City,Arizona,928,Dropped call or no message,Y
3232636270,2021-04-01 00:01:28,2021-03-31 16:38:00,,California,323,Other,Y
9079037554,2021-04-01 00:01:30,2021-03-31 13:11:00,,Alaska,907,"Calls pretending to be government, businesses, or family and friends",Y
2403324350,2021-04-01 00:01:50,2021-03-31 11:42:00,,Maryland,301,Other,N
4085083531,2021-04-01 00:02:20,2021-03-31 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2403634007,2021-04-01 00:02:22,2021-03-31 10:05:00,San Bernardino,California,240,Other,Y
8664823084,2021-04-01 00:02:36,2021-03-31 11:24:00,Lake Havasu City,Arizona,928,Dropped call or no message,Y
3232637138,2021-04-01 00:02:50,2021-03-31 16:33:00,,California,323,Other,Y
2028692078,2021-04-01 00:03:10,2021-03-30 20:00:00,,Maryland,301,Other,N
2129279711,2021-04-01 00:03:28,2021-03-31 11:04:00,New York,New York,646,"Calls pretending to be government, businesses, or family and friends",N
4083658206,2021-04-01 00:03:35,2021-03-31 21:03:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
9282954081,2021-04-01 00:03:51,2021-03-31 13:17:00,Lake Havasu City,Arizona,928,Dropped call or no message,Y
2069957575,2021-04-01 00:04:13,2021-03-31 15:20:00,,Washington,206,"Calls pretending to be government, businesses, or family and friends",Y
2403324350,2021-04-01 00:04:22,2021-03-30 16:28:00,,Maryland,301,Other,N
3232635413,2021-04-01 00:04:23,2021-03-31 16:27:00,,California,323,Other,Y
3232632021,2021-04-01 00:05:29,2021-03-31 16:21:00,,California,323,Other,Y
2403324350,2021-04-01 00:05:52,2021-03-30 12:18:00,,Maryland,301,Other,N
8439683676,2021-04-01 00:06:00,2021-03-30 10:12:00,,Ohio,419,No Subject Provided,Y
5094799950,2021-04-01 00:06:20,2021-03-31 11:01:00,Moses Lake,Washington,509,Other,
8772084361,2021-04-01 00:06:52,2021-03-29 00:00:00,Knoxville,Tennessee,865,Vacation  & timeshares,N
2403324350,2021-04-01 00:07:16,2021-03-29 17:51:00,,Maryland,301,Other,Y
7042602028,2021-04-01 00:07:19,2021-03-31 20:10:00,WINSTON SALEM,North Carolina,336,"Lotteries, prizes  & sweepstakes",Y
3232637002,2021-04-01 00:07:36,2021-03-31 16:17:00,,California,323,Other,Y
8322272563,2021-04-01 00:08:39,2021-03-31 17:39:00,asheville,North Carolina,828,Dropped call or no message,Y
2062076831,2021-04-01 00:08:49,2021-03-31 10:43:00,,Washington,206,Other,N
3232637002,2021-04-01 00:09:04,2021-03-31 16:17:00,,California,323,Other,Y
8155700374,2021-04-01 00:10:24,2021-03-26 13:24:00,,Illinois,618,No Subject Provided,
3232636499,2021-04-01 00:10:30,2021-03-31 16:12:00,,California,323,Other,Y
2176270556,2021-04-01 00:10:59,2021-03-31 14:12:00,,Illinois,618,No Subject Provided,
8054665446,2021-04-01 00:11:24,2021-03-31 16:32:00,,California,805,Other,Y
3038723007,2021-04-01 00:11:30,2021-03-31 15:35:00,Highlands Ranch,Colorado,303,Other,N
3232639740,2021-04-01 00:11:50,2021-03-31 16:08:00,,California,323,Other,Y
3016907138,2021-04-01 00:12:08,2021-03-29 15:58:00,,Maryland,301,Other,N
8054665446,2021-04-01 00:12:44,2021-03-31 08:41:00,,California,805,No Subject Provided,Y
3038596665,2021-04-01 00:13:09,2021-03-31 10:32:00,Highlands Ranch,Colorado,303,Other,N
3232637563,2021-04-01 00:13:13,2021-03-31 16:03:00,,California,323,Other,Y
6622366540,2021-04-01 00:13:30,2021-03-31 11:42:00,Oxford,Mississippi,662,Other,Y
2403324350,2021-04-01 00:13:34,2021-03-29 13:14:00,,Maryland,301,Other,Y
6468104986,2021-04-01 00:13:46,2021-03-24 16:00:00,Brooklyn,New York,646,"Calls pretending to be government, businesses, or family and friends",Y
3232632496,2021-04-01 00:14:36,2021-03-31 16:43:00,,California,323,Other,Y
5592453380,2021-04-01 00:14:36,2021-03-31 13:25:00,,California,805,Other,Y
3018823886,2021-04-01 00:15:20,2021-03-27 11:27:00,,Maryland,301,Other,N
,2021-04-01 00:15:49,2021-03-31 15:59:00,,California,323,Other,Y
,2021-04-01 00:16:17,2021-03-29 09:42:00,,Illinois,815,Warranties  & protection plans,Y
7027989657,2021-04-01 00:16:40,2021-03-31 15:15:00,,Nevada,702,No Subject Provided,Y
3018363042,2021-04-01 00:17:04,2021-03-26 12:42:00,,Maryland,301,Other,N
,2021-04-01 00:17:46,2021-03-31 13:36:00,,Missouri,573,Other,Y
7608217796,2021-04-01 00:17:57,2021-03-31 18:29:00,,Pennsylvania,215,No Subject Provided,Y
6507853651,2021-04-01 00:18:17,2021-03-31 15:12:00,CUPERTINO,California,408,Vacation  & timeshares,Y
2024496058,2021-04-01 00:18:40,2021-03-26 10:56:00,,Maryland,301,Other,N
6183348219,2021-04-01 00:18:47,2021-03-31 14:01:00,san pedro,California,740,Other,Y
5033968649,2021-04-01 00:19:30,2021-03-31 18:28:00,,Pennsylvania,215,No Subject Provided,Y
