Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5025847524,2021-04-26 00:05:35,2021-04-23 14:37:00,Tampa,Florida,813,"Calls pretending to be government, businesses, or family and friends",Y
7085227533,2021-04-26 00:05:53,2021-04-25 11:09:00,Mililani,Hawaii,808,"Lotteries, prizes  & sweepstakes",
5188960112,2021-04-26 00:10:13,2021-04-23 09:12:00,Rochester,New York,585,Warranties  & protection plans,Y
,2021-04-26 00:20:45,2021-04-20 12:00:00,Mequon,Wisconsin,414,"Calls pretending to be government, businesses, or family and friends",Y
2136673641,2021-04-26 00:22:33,2021-04-20 12:41:00,,California,213,No Subject Provided,
6267034803,2021-04-26 00:22:09,2021-04-14 10:55:00,,California,626,Dropped call or no message,Y
2137416080,2021-04-26 00:24:49,2021-04-20 13:49:00,,California,213,No Subject Provided,
6266710887,2021-04-26 00:24:23,2021-04-15 13:27:00,,California,626,Dropped call or no message,Y
4694847294,2021-04-26 00:26:51,2021-04-22 00:00:00,,Texas,469,No Subject Provided,
7162174415,2021-04-26 00:28:21,2021-03-24 14:33:00,Medford,New York,631,Other,N
6314321572,2021-04-26 00:29:18,2021-03-24 09:44:00,Medford,New York,631,Other,N
6312626868,2021-04-26 00:30:01,2021-03-24 13:01:00,Medford,New York,631,Other,N
5015168947,2021-04-26 00:30:15,2021-04-19 12:00:00,,Arkansas,501,Other,Y
6312464655,2021-04-26 00:31:16,2021-03-24 13:15:00,Medford,New York,631,Other,N
6264192409,2021-04-26 00:32:17,2021-04-15 14:13:00,,California,626,Dropped call or no message,Y
9142781297,2021-04-26 00:32:59,2021-03-24 13:14:00,Medford,New York,631,Other,N
2134633480,2021-04-26 00:34:18,2021-04-20 13:59:00,,California,213,No Subject Provided,
6312692554,2021-04-26 00:33:46,2021-03-24 13:25:00,Medford,New York,631,Other,N
6312312364,2021-04-26 00:35:03,2021-03-24 13:34:00,Medford,New York,631,Other,N
5596875055,2021-04-26 00:35:25,2021-04-15 14:59:00,,California,626,Dropped call or no message,Y
6319757784,2021-04-26 00:36:00,2021-03-24 14:02:00,Medford,New York,631,Other,N
2134459276,2021-04-26 00:37:19,2021-04-20 19:07:00,,California,213,No Subject Provided,
5164612013,2021-04-26 00:37:56,2021-03-24 12:47:00,Medford,New York,631,Other,N
,2021-04-26 00:38:46,2021-04-21 16:10:00,Burlington,Iowa,319,"Calls pretending to be government, businesses, or family and friends",Y
,2021-04-26 00:40:02,2021-04-02 10:23:00,,Maryland,301,"Reducing your debt (credit cards, mortgage, student loans)",Y
7317413041,2021-04-26 00:40:57,2021-03-24 12:47:00,Medford,New York,631,Other,N
7082723984,2021-04-26 00:42:01,2021-03-24 16:19:00,Medford,New York,631,Other,N
6312394211,2021-04-26 00:42:56,2021-03-24 18:55:00,Medford,New York,631,Other,N
9342004018,2021-04-26 00:44:45,2021-03-25 13:51:00,Medford,New York,631,Other,N
9142781297,2021-04-26 00:46:29,2021-03-25 13:13:00,Medford,New York,631,Other,N
8889735956,2021-04-26 00:47:01,2021-04-25 17:00:00,Bonham,Texas,903,Other,Y
6318885167,2021-04-26 00:48:07,2021-03-25 09:47:00,Medford,New York,631,Other,N
3239336436,2021-04-26 00:50:21,2021-04-25 17:37:00,,California,323,Dropped call or no message,Y
6312671915,2021-04-26 00:50:57,2021-03-29 09:39:00,Medford,New York,631,Other,N
6267998858,2021-04-26 00:51:17,2021-04-15 18:11:00,,California,626,Dropped call or no message,Y
6312470231,2021-04-26 00:51:47,2021-03-29 10:31:00,Medford,New York,631,Other,N
6315742616,2021-04-26 00:52:49,2021-03-29 12:01:00,Medford,New York,631,Other,N
6264697165,2021-04-26 00:54:12,2021-04-16 10:00:00,,California,626,Dropped call or no message,Y
2133485882,2021-04-26 00:54:15,2021-04-25 16:18:00,,California,323,Dropped call or no message,Y
3239204899,2021-04-26 00:55:37,2021-04-25 13:53:00,,California,323,Dropped call or no message,Y
3237985585,2021-04-26 00:58:16,2021-04-25 13:46:00,,California,323,Dropped call or no message,Y
6267998668,2021-04-26 00:58:37,2021-04-16 12:59:00,,California,626,Dropped call or no message,Y
6267754223,2021-04-26 01:01:54,2021-04-16 13:25:00,,California,626,Dropped call or no message,Y
3056221923,2021-04-26 01:06:49,2021-04-25 03:13:00,Bellingham,Washington,360,Other,Y
6264861119,2021-04-26 01:07:22,2021-04-16 13:54:00,,California,626,Dropped call or no message,Y
6266710849,2021-04-26 01:11:14,2021-04-17 17:09:00,,California,626,Dropped call or no message,Y
6268720214,2021-04-26 01:14:05,2021-04-18 12:31:00,,California,626,Dropped call or no message,Y
6177830112,2021-04-26 01:14:42,2021-04-26 23:45:00,,Massachusetts,781,No Subject Provided,Y
5852042740,2021-04-26 01:15:14,2021-04-24 16:49:00,Bellingham,Washington,360,Other,Y
6268261119,2021-04-26 01:19:18,2021-04-19 09:35:00,,California,626,Dropped call or no message,Y
