Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4702211010,2021-04-13 00:00:14,2021-04-01 14:36:00,Rydal,Georgia,770,Other,N
4848685530,2021-04-13 00:00:22,2021-04-12 15:43:00,Wind Gap,Pennsylvania,610,Dropped call or no message,Y
2677320041,2021-04-13 00:01:07,2021-03-18 14:09:00,Rydal,Georgia,770,Other,N
3132173467,2021-04-13 00:01:08,2021-04-12 05:03:00,Ypsilanti,Michigan,734,Other,N
8777944955,2021-04-13 00:01:44,2021-03-18 18:58:00,Rydal,Georgia,770,Other,N
,2021-04-13 00:01:51,2021-04-12 11:13:00,Downers Grove,Illinois,630,"Calls pretending to be government, businesses, or family and friends",N
8633270147,2021-04-13 00:02:27,2021-03-23 13:23:00,Rydal,Georgia,770,Other,N
6512378792,2021-04-13 00:02:32,2021-04-12 13:21:00,RED WING,Minnesota,651,Other,
7146947655,2021-04-13 00:03:07,2021-04-08 18:00:00,San Clemente,California,817,Other,Y
7707415551,2021-04-13 00:03:10,2021-03-26 10:18:00,Rydal,Georgia,770,Other,N
7028464434,2021-04-13 00:03:20,2021-04-12 12:20:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
8132312429,2021-04-13 00:03:30,2021-04-12 20:25:00,Tampa,Florida,813,"Energy, solar,  & utilities",Y
6104863165,2021-04-13 00:03:38,2021-04-12 15:27:00,Wind Gap,Pennsylvania,610,Dropped call or no message,Y
2342313334,2021-04-13 00:02:35,2021-04-12 11:18:00,,Ohio,567,No Subject Provided,N
7064593599,2021-04-13 00:04:06,2021-03-30 09:20:00,Rydal,Georgia,770,Other,N
3162255579,2021-04-13 00:04:26,2021-04-12 12:00:00,CARTAGENA,Kansas,316,Work from home  & other ways to make money,N
7707415431,2021-04-13 00:04:50,2021-04-02 09:05:00,Rydal,Georgia,770,Other,N
2407221551,2021-04-13 00:04:59,2021-04-12 12:46:00,Downers Grove,Illinois,630,"Calls pretending to be government, businesses, or family and friends",Y
2314686187,2021-04-13 00:05:11,2021-04-12 14:21:00,Ypsilanti,Michigan,734,Other,N
7029792363,2021-04-13 00:05:29,2021-04-02 10:03:00,Rydal,Georgia,770,Other,N
319400302,2021-04-13 00:05:34,2021-04-12 00:00:00,,Illinois,312,Other,Y
5093814419,2021-04-13 00:05:44,2021-04-12 15:17:00,Snohomish,Washington,206,Other,N
6504890827,2021-04-13 00:06:12,2021-04-12 10:20:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
8449740747,2021-04-13 00:06:19,2021-04-03 13:10:00,Rydal,Georgia,770,Other,N
7707414372,2021-04-13 00:07:02,2021-04-09 11:22:00,Rydal,Georgia,770,Other,N
2062790213,2021-04-13 00:07:31,2021-04-12 15:52:00,Snohomish,Washington,206,Other,N
5414443188,2021-04-13 00:07:32,2021-04-12 12:41:00,Rogue River,Oregon,541,Dropped call or no message,Y
7638306106,2021-04-13 00:08:14,2021-04-12 14:01:00,Minneapolis,Minnesota,763,"Reducing your debt (credit cards, mortgage, student loans)",Y
6784985013,2021-04-13 00:08:15,2021-03-13 10:24:00,Rydal,Georgia,706,Dropped call or no message,N
6504890827,2021-04-13 00:08:37,2021-04-05 08:24:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
6514132874,2021-04-13 00:09:00,2021-04-12 18:28:00,RED WING,Minnesota,651,Other,
8334540384,2021-04-13 00:09:29,2021-03-12 13:08:00,Rydal,Georgia,706,Other,N
2092069138,2021-04-13 00:10:11,2021-04-12 09:31:00,,California,209,Other,Y
7066867108,2021-04-13 00:10:19,2021-03-12 11:23:00,Rydal,Georgia,706,Other,N
7028320509,2021-04-13 00:10:39,2021-04-11 04:06:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
6788942565,2021-04-13 00:11:12,2021-03-12 10:17:00,Rydal,Georgia,706,Other,N
2092069138,2021-04-13 00:11:17,2021-04-12 09:31:00,,California,209,Other,Y
7608008742,2021-04-13 00:11:26,2021-04-12 00:00:00,,California,760,Other,N
7623204219,2021-04-13 00:11:57,2021-03-11 13:26:00,Rydal,Georgia,706,Other,N
2162734131,2021-04-13 00:12:27,2021-04-12 15:50:00,,Ohio,216,No Subject Provided,N
7064309829,2021-04-13 00:12:50,2021-03-20 14:14:00,Rydal,Georgia,706,Other,N
6505516549,2021-04-13 00:12:56,2021-04-08 13:20:00,Kerman,California,559,"Calls pretending to be government, businesses, or family and friends",Y
2096534752,2021-04-13 00:13:09,2021-04-12 11:06:00,,California,209,Other,Y
8775389086,2021-04-13 00:13:50,2021-04-12 16:59:00,,Ohio,216,No Subject Provided,N
90113294022,2021-04-13 00:13:21,2021-04-10 11:39:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
6232635336,2021-04-13 00:14:07,2021-04-12 18:13:00,,Arizona,623,No Subject Provided,N
7064309829,2021-04-13 00:13:49,2021-03-19 19:16:00,Rydal,Georgia,706,Other,N
8775026453,2021-04-13 00:13:54,2021-04-12 23:09:00,chancellor,Alabama,210,Other,Y
2709744181,2021-04-13 00:14:22,2021-04-12 12:00:00,Baton Rouge,Louisiana,270,Dropped call or no message,Y
9252629283,2021-04-13 00:14:47,2021-04-11 15:00:00,Antioch,California,925,Home improvement  & cleaning,Y
9096548367,2021-04-13 00:14:50,2021-04-12 13:12:00,Loma linda,California,909,"Reducing your debt (credit cards, mortgage, student loans)",Y
9856354267,2021-04-13 00:15:29,2021-04-08 15:07:00,Kerman,California,559,"Calls pretending to be government, businesses, or family and friends",Y
7252092730,2021-04-13 00:15:35,2021-04-09 15:37:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
2259514903,2021-04-13 00:15:38,2021-04-12 12:00:00,Baton Rouge,Louisiana,225,Dropped call or no message,Y
8006742565,2021-04-13 00:15:45,2021-04-08 04:30:00,Roslindale,Massachusetts,617,"Calls pretending to be government, businesses, or family and friends",Y
,2021-04-13 00:16:07,2021-04-12 00:00:00,Gautier,Mississippi,228,Medical  & prescriptions,Y
2093367522,2021-04-13 00:16:08,2021-04-12 17:43:00,,California,209,Other,Y
,2021-04-13 00:16:10,2021-04-09 14:03:00,RED WING,Minnesota,651,Other,
9282238214,2021-04-13 00:16:32,2021-04-12 15:03:00,,Arizona,623,No Subject Provided,Y
7575818877,2021-04-13 00:18:20,2021-04-12 12:00:00,Yakima,Washington,973,Other,N
4808853947,2021-04-13 00:18:22,2021-04-12 10:00:00,,Arizona,623,No Subject Provided,Y
7028464434,2021-04-13 00:18:42,2021-04-09 14:19:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
9093664126,2021-04-13 00:19:06,2021-04-12 16:47:00,Kerman,California,559,"Calls pretending to be government, businesses, or family and friends",Y
9516971679,2021-04-13 00:19:48,2021-04-02 15:19:00,Whittier,California,323,"Calls pretending to be government, businesses, or family and friends",Y
3028024359,2021-04-13 00:21:07,2021-03-24 17:30:00,Rydal,Georgia,706,Other,Y
8882797027,2021-04-13 00:21:09,2021-04-09 11:52:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
5202317289,2021-04-13 00:21:14,2021-04-12 09:45:00,,California,408,Other,N
5613176124,2021-04-13 00:22:40,2021-04-12 15:54:00,Boca Raton,Florida,561,Other,N
6513027285,2021-04-13 00:23:15,2021-04-09 10:21:00,RED WING,Minnesota,651,Other,
5619698336,2021-04-13 00:23:32,2021-04-09 10:50:00,Boca Raton,Florida,561,Other,N
7252092730,2021-04-13 00:23:48,2021-04-09 11:13:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
7207900452,2021-04-13 00:24:13,2021-04-12 09:44:00,DENVER,Colorado,720,Warranties  & protection plans,Y
2624258654,2021-04-13 00:25:26,2021-04-12 19:12:00,Boca Raton,Florida,561,Other,N
5614865096,2021-04-13 00:26:34,2021-04-10 15:54:00,Boca Raton,Florida,561,Other,N
8508053722,2021-04-13 00:26:40,2021-04-12 11:25:00,,Florida,850,Dropped call or no message,Y
7029618554,2021-04-13 00:26:53,2021-04-09 09:44:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
6195007937,2021-04-13 00:27:25,2021-03-31 17:17:00,Rydal,Georgia,706,Other,Y
7193956461,2021-04-13 00:27:32,2021-04-12 13:16:00,,Florida,850,Dropped call or no message,Y
7207900452,2021-04-13 00:27:38,2021-04-12 12:55:00,DENVER,Colorado,720,Warranties  & protection plans,Y
8470987765,2021-04-13 00:28:13,2021-03-31 12:54:00,Rydal,Georgia,706,Other,N
4176781036,2021-04-13 00:28:53,2021-04-06 18:13:00,,Wisconsin,920,Other,Y
8470987765,2021-04-13 00:29:02,2021-03-31 12:55:00,Rydal,Georgia,706,Other,N
7029618554,2021-04-13 00:29:03,2021-04-09 11:43:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
8025523268,2021-04-13 00:29:36,2021-04-12 17:47:00,Hamilton,Ohio,513,"Calls pretending to be government, businesses, or family and friends",N
3239702958,2021-04-13 00:29:46,2021-03-30 11:27:00,Rydal,Georgia,706,Other,N
8475970671,2021-04-13 00:30:08,2021-03-16 12:17:00,Fox River Grove,Illinois,847,Other,N
7066247378,2021-04-13 00:30:34,2021-03-29 11:44:00,Rydal,Georgia,706,Other,N
9203200033,2021-04-13 00:30:54,2021-04-08 12:07:00,,Wisconsin,920,Other,Y
8663180384,2021-04-13 00:31:01,2021-04-09 08:35:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
8042076190,2021-04-13 00:31:23,2021-03-28 16:00:00,Rydal,Georgia,706,Other,N
8147396371,2021-04-13 00:31:47,2021-04-12 07:15:00,Portland,Oregon,814,"Calls pretending to be government, businesses, or family and friends",Y
9178183649,2021-04-13 00:32:09,2021-03-28 13:28:00,Rydal,Georgia,706,Other,N
6033182974,2021-04-13 00:32:34,2021-04-12 12:00:00,,Washington,360,Other,Y
2623798175,2021-04-13 00:32:35,2021-04-08 12:38:00,,Wisconsin,920,Other,Y
4453005491,2021-04-13 00:32:55,2021-03-27 16:20:00,Rydal,Georgia,706,Other,N
7028424523,2021-04-13 00:33:08,2021-04-08 17:58:00,Las Vegas,Nevada,702,"Calls pretending to be government, businesses, or family and friends",N
3128009799,2021-04-13 00:33:21,2021-04-12 10:00:00,,New Jersey,973,No Subject Provided,Y
3106414320,2021-04-13 00:33:21,2021-04-12 17:30:00,,California,310,No Subject Provided,Y
6785060326,2021-04-13 00:33:38,2021-03-27 14:16:00,Rydal,Georgia,706,Other,N
9203507401,2021-04-13 00:33:55,2021-04-09 10:30:00,,Wisconsin,920,Other,Y
6282447815,2021-04-13 00:33:57,2021-04-12 16:18:00,,California,310,No Subject Provided,Y
