Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4154978896,2021-04-27 00:00:35,2021-04-26 00:00:00,,California,510,No Subject Provided,
7026553019,2021-04-27 00:00:53,2021-04-14 13:11:00,SOLANA BEACH,California,858,Warranties  & protection plans,Y
7203367653,2021-04-27 00:00:54,2021-04-26 11:37:00,northglenn,Colorado,720,Other,
,2021-04-27 00:01:03,2021-04-24 13:08:00,Chantilly,Virginia,703,"Calls pretending to be government, businesses, or family and friends",N
7752612286,2021-04-27 00:01:06,2021-04-26 20:30:00,Amity,Oregon,775,Medical  & prescriptions,Y
2622273283,2021-04-27 00:01:36,2021-04-23 15:59:00,,Wisconsin,920,Other,Y
9208952026,2021-04-27 00:02:52,2021-04-26 11:08:00,,Wisconsin,920,Other,Y
7207345527,2021-04-27 00:03:10,2021-04-22 16:01:00,northglenn,Colorado,720,Other,
7152871706,2021-04-27 00:03:56,2021-04-26 13:40:00,,Wisconsin,920,Other,Y
3104307930,2021-04-27 00:04:51,2021-04-25 17:23:00,Redondo Beach,California,310,Dropped call or no message,Y
9179814023,2021-04-27 00:04:56,2021-04-22 21:20:00,Jamaica,New York,347,Other,Y
4582196625,2021-04-27 00:05:15,2021-04-22 15:51:00,northglenn,Colorado,720,Other,
7273392602,2021-04-27 00:05:44,2021-04-26 09:17:00,Redondo Beach,California,310,Dropped call or no message,Y
2088110947,2021-04-27 00:06:29,2021-04-26 12:31:00,Redondo Beach,California,310,Dropped call or no message,Y
6184236080,2021-04-27 00:07:49,2021-04-26 11:52:00,,Illinois,847,No Subject Provided,
4098658484,2021-04-27 00:07:10,2021-04-26 14:52:00,,Colorado,303,"Calls pretending to be government, businesses, or family and friends",Y
3103726515,2021-04-27 00:07:23,2021-04-26 15:35:00,Redondo Beach,California,310,Dropped call or no message,Y
8313892925,2021-04-27 00:08:46,2021-04-16 07:20:00,Rocklin,California,209,Vacation  & timeshares,Y
2522208543,2021-04-27 00:09:47,2021-04-19 12:22:00,,Illinois,847,No Subject Provided,
2093640610,2021-04-27 00:10:22,2021-04-19 11:14:00,Rocklin,California,209,Dropped call or no message,N
2027920683,2021-04-27 00:10:32,2021-04-26 19:27:00,,Colorado,303,Dropped call or no message,Y
,2021-04-27 00:11:44,2021-04-21 12:30:00,,Illinois,847,No Subject Provided,
7867619885,2021-04-27 00:12:46,2021-04-19 11:21:00,Rocklin,California,209,Other,N
4252441872,2021-04-27 00:12:51,2021-04-26 11:00:00,,Washington,425,Other,Y
8475728758,2021-04-27 00:14:08,2021-04-21 12:30:00,,Illinois,847,No Subject Provided,
4252992100,2021-04-27 00:13:35,2021-04-26 13:00:00,,Washington,425,Other,Y
4254486502,2021-04-27 00:14:20,2021-04-26 13:00:00,,Washington,425,Other,Y
4253679110,2021-04-27 00:15:07,2021-04-26 14:00:00,,Washington,425,Other,Y
7122547188,2021-04-27 00:15:47,2021-04-26 10:12:00,,Iowa,712,Other,
4252444575,2021-04-27 00:15:49,2021-04-26 14:00:00,,Washington,425,Other,Y
5595611392,2021-04-27 00:15:55,2021-04-22 11:18:00,,Illinois,847,No Subject Provided,
9138323107,2021-04-27 00:18:08,2021-04-26 13:20:00,,Illinois,847,No Subject Provided,
441182309449,2021-04-27 00:17:04,2021-04-26 00:00:00,,Washington,425,Other,N
2405595553,2021-04-27 00:18:49,2021-04-26 08:17:00,Middleton,Maryland,240,Other,Y
9252379599,2021-04-27 00:18:49,2021-04-26 09:21:00,,California,925,Dropped call or no message,Y
9033040680,2021-04-27 00:19:38,2021-04-26 10:14:00,Middleton,Maryland,240,Other,N
5076762915,2021-04-27 00:20:27,2021-04-25 10:24:00,Middleton,Maryland,240,Other,N
9253758963,2021-04-27 00:20:36,2021-04-26 11:34:00,,California,925,Dropped call or no message,Y
4434464479,2021-04-27 00:21:09,2021-04-23 16:50:00,Middleton,Maryland,240,Other,N
2407196363,2021-04-27 00:21:53,2021-04-23 12:24:00,Middleton,Maryland,240,Other,N
9259977291,2021-04-27 00:22:36,2021-04-26 17:38:00,,California,925,Dropped call or no message,Y
8442924759,2021-04-27 00:23:22,2018-07-23 12:00:00,Savannah,Georgia,912,"Reducing your debt (credit cards, mortgage, student loans)",N
3014479746,2021-04-27 00:25:09,2021-04-26 14:01:00,Frederick,Maryland,301,Other,Y
,2021-04-27 00:26:41,2021-04-25 00:00:00,Clarksville,Tennessee,931,"Calls pretending to be government, businesses, or family and friends",N
8003863169,2021-04-27 00:27:36,2021-04-23 14:49:00,Spring,Texas,281,Dropped call or no message,Y
9562314884,2021-04-27 00:28:25,2021-04-23 12:49:00,Spring,Texas,281,Dropped call or no message,Y
9716716111,2021-04-27 00:29:09,2021-04-24 11:37:00,Spring,Texas,281,Dropped call or no message,Y
2812235160,2021-04-27 00:29:52,2021-04-26 17:46:00,Spring,Texas,281,Dropped call or no message,Y
9562310939,2021-04-27 00:30:41,2021-04-26 14:37:00,Spring,Texas,281,Dropped call or no message,Y
7209000810,2021-04-27 00:34:04,2021-04-26 11:00:00,Highlands Ranch,Colorado,720,Warranties  & protection plans,Y
4085895488,2021-04-27 00:36:40,2021-04-26 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4085895488,2021-04-27 00:37:36,2021-04-26 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
,2021-04-27 00:38:45,2021-04-23 00:00:00,Kimberly,Wisconsin,920,Other,
4082524782,2021-04-27 00:38:47,2021-04-26 07:58:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2252433979,2021-04-27 00:39:30,2021-04-26 18:48:00,Tustin,California,714,Other,
2012478708,2021-04-27 00:39:31,2021-04-23 09:00:00,,New York,212,"Reducing your debt (credit cards, mortgage, student loans)",N
4082524782,2021-04-27 00:39:51,2021-04-26 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4083612916,2021-04-27 00:42:30,2021-04-26 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4083612916,2021-04-27 00:43:24,2021-04-26 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
6022075655,2021-04-27 00:45:46,2021-04-26 14:53:00,Cave Creek,Arizona,602,Warranties  & protection plans,Y
3174567127,2021-04-27 00:46:09,2021-04-26 13:57:00,Seabrook,Texas,317,"Reducing your debt (credit cards, mortgage, student loans)",Y
2565083803,2021-04-27 00:46:53,2021-04-26 03:42:00,Los Angeles,California,323,"Calls pretending to be government, businesses, or family and friends",N
5018875383,2021-04-27 00:48:35,2021-04-09 12:34:00,,Arkansas,501,Warranties  & protection plans,Y
3212738140,2021-04-27 00:49:20,2021-04-23 14:05:00,Seabrook,Texas,888,"Reducing your debt (credit cards, mortgage, student loans)",Y
5015060121,2021-04-27 00:50:49,2021-04-15 14:49:00,,Arkansas,501,Warranties  & protection plans,Y
6196253240,2021-04-27 00:51:59,2021-04-16 18:35:00,Burbank,California,323,Vacation  & timeshares,Y
501737976,2021-04-27 00:52:45,2021-04-20 14:42:00,,Arkansas,501,Warranties  & protection plans,Y
7145585077,2021-04-27 00:53:54,2021-04-23 12:00:00,Bellflower,California,562,Dropped call or no message,N
5627241940,2021-04-27 00:54:52,2021-04-22 10:38:00,Bellflower,California,562,Dropped call or no message,N
2065940615,2021-04-27 00:54:53,2021-04-21 07:40:00,,Washington,360,Other,Y
5189140246,2021-04-27 00:55:46,2021-04-05 09:23:00,,Arkansas,501,Warranties  & protection plans,Y
8885621525,2021-04-27 00:56:21,2021-04-26 16:31:00,,District of Columbia,202,Other,N
,2021-04-27 00:57:13,2021-04-26 14:17:00,,Iowa,319,Other,Y
9044901314,2021-04-27 00:58:10,2021-04-14 10:09:00,,Arkansas,501,Warranties  & protection plans,Y
6618760627,2021-04-27 00:58:27,2021-04-26 08:12:00,,California,661,Other,N
6507936437,2021-04-27 00:59:34,2021-04-26 09:41:00,,California,650,"Reducing your debt (credit cards, mortgage, student loans)",Y
9517831310,2021-04-27 00:59:37,2021-04-05 16:25:00,,California,909,Dropped call or no message,N
6617684107,2021-04-27 01:00:11,2021-04-26 08:11:00,,California,661,Other,N
7137312050,2021-04-27 01:01:30,2021-04-26 07:58:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
5016044382,2021-04-27 01:02:21,2021-03-29 10:40:00,,California,661,Other,N
7137312050,2021-04-27 01:02:32,2021-04-26 21:01:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3023003396,2021-04-27 01:03:38,2021-03-29 14:01:00,,California,661,Other,N
6194959544500,2021-04-27 01:04:27,2021-04-23 14:49:00,Coronado,California,619,"Calls pretending to be government, businesses, or family and friends",Y
8127322508,2021-04-27 01:05:36,2021-04-26 09:00:00,,Maryland,301,Dropped call or no message,Y
5754844839,2021-04-27 01:08:19,2021-04-26 12:31:00,,New Mexico,505,Warranties  & protection plans,Y
8662700327,2021-04-27 01:09:51,2021-04-26 14:29:00,Woodlawn,Illinois,618,"Reducing your debt (credit cards, mortgage, student loans)",Y
8452419793,2021-04-27 01:12:40,2021-04-23 15:56:00,Glenview,Illinois,773,Warranties  & protection plans,Y
6309340716,2021-04-27 01:13:58,2021-04-26 15:36:00,,Illinois,708,No Subject Provided,Y
3349553020,2021-04-27 01:15:38,2021-04-26 20:54:00,green valley,Arizona,520,Other,Y
3232755538,2021-04-27 01:16:02,2021-04-26 09:35:00,,California,925,Dropped call or no message,Y
9259335889,2021-04-27 01:17:02,2021-04-26 15:02:00,,California,925,Dropped call or no message,Y
4802967171,2021-04-27 01:18:00,2021-04-26 17:00:00,Tempe,Arizona,480,"Calls pretending to be government, businesses, or family and friends",Y
,2021-04-27 01:22:59,2021-04-24 00:00:00,,Connecticut,203,No Subject Provided,Y
5057380275,2021-04-27 01:27:53,2021-04-26 13:35:00,,New Mexico,505,Other,Y
3072099569,2021-04-27 01:28:49,2021-04-26 10:45:00,Gillette,Wyoming,307,Warranties  & protection plans,Y
4059961515,2021-04-27 01:31:11,2021-04-26 14:44:00,,Oklahoma,405,No Subject Provided,Y
9492506330,2021-04-27 01:36:23,2021-04-26 14:52:00,Temecula,California,951,Warranties  & protection plans,Y
6507091137,2021-04-27 01:39:54,2021-04-26 10:12:00,,California,650,No Subject Provided,N
6505170748,2021-04-27 01:41:05,2021-04-26 15:35:00,,California,650,No Subject Provided,N
8286507434,2021-04-27 01:44:53,2021-04-26 20:08:00,Newton,North Carolina,828,Other,Y
2242532816,2021-04-27 01:47:41,2021-04-26 12:46:00,,Illinois,224,No Subject Provided,N
